City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,Gorontalo,ID,76.89,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
419,Richards Bay,ZA,89.58,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
422,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
424,Abu Dhabi,AE,84.31,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
432,Fontem,CM,84.6,broken clouds,5.4685,9.8818,Vista Palace Hotel
437,Caravelas,BR,81.86,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
438,Akyab,MM,78.75,clear sky,20.15,92.9,Hotel Memory
442,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
443,Agadez,NE,88.09,broken clouds,19.75,10.25,
444,Kupang,ID,81.36,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
450,Hargeysa,SO,77.09,clear sky,9.56,44.065,City Center Hotel
458,Abnub,EG,86.22,clear sky,27.2696,31.1511,Romany Adly Gad
463,Karratha,AU,84.34,light rain,-20.7377,116.8463,ibis Styles Karratha
464,Bambanglipuro,ID,77.09,overcast clouds,-7.95,110.2833,Puri Brata
465,Pouebo,NC,78.17,broken clouds,-20.4,164.5667,RIVÂT LODGE
466,Grand Gaube,MU,84.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
473,Puerto Quijarro,BO,87.89,broken clouds,-17.7833,-57.7667,Hotel palance
474,Amapa,BR,78.3,broken clouds,1.0,-52.0,
475,Manoharpur,IN,77.95,few clouds,27.3,75.95,कैथल हरियाणा होटल
481,Atambua,ID,76.6,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
485,Simbahan,PH,83.59,overcast clouds,6.3032,120.5836,
494,San Carlos,VE,77.07,few clouds,9.6612,-68.5827,Hotel Paternopoli
495,Beloha,MG,77.88,clear sky,-25.1667,45.05,
496,Pangai,TO,79.0,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
498,Takoradi,GH,84.06,light rain,4.8845,-1.7554,Raybow International Hotel
499,Isangel,VU,77.74,overcast clouds,-19.55,169.2667,Tanna Lodge
503,Hoopstad,ZA,77.99,overcast clouds,-27.8327,25.9083,Nel's Rust Self Catering Accommodation
506,Cambara,BR,80.15,clear sky,-23.0464,-50.0736,Central Palace Hotel
511,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
515,Latung,PH,83.68,overcast clouds,5.5,120.8833,
516,Oussouye,SN,87.98,scattered clouds,12.485,-16.5469,Auberge du Routard
533,Araouane,ML,82.56,overcast clouds,18.9048,-3.5265,
534,Hobyo,SO,83.82,light rain,5.3505,48.5268,Halane Hotel and Restaurent
538,Nkhotakota,MW,82.78,few clouds,-12.9274,34.2961,Sitima Inn
545,Alexandria,EG,82.94,clear sky,31.2156,29.9553,Royal Crown Hotel
549,Kalmunai,LK,80.26,overcast clouds,7.4167,81.8167,VS Villa
554,Thohoyandou,ZA,87.13,clear sky,-22.9456,30.485,Masili Guesthouse & Conference
556,Poum,NC,80.62,scattered clouds,-20.2333,164.0167,Gîte kajeon
558,Muli,MV,82.44,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
560,Vila Do Maio,CV,76.1,overcast clouds,15.1333,-23.2167,Hotel Marilu
563,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
564,Anloga,GH,85.03,broken clouds,5.7947,0.8973,Pin Drop Hotel
567,Loa Janan,ID,76.64,light rain,-0.583,117.095,PONDOK COKLAT HATTA CAB. LOA JANAN ILIR
