City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Porto Novo,BJ,2021-11-25 15:40:28,6.4965,2.6036,89.42,72,48,9.35
111,Alyangula,AU,2021-11-25 15:40:29,-13.8483,136.4192,80.47,94,100,5.75
112,Port-Gentil,GA,2021-11-25 15:40:29,-0.7193,8.7815,84.16,74,20,12.66
113,Emba,KZ,2021-11-25 15:40:30,48.8264,58.1442,16.0,76,81,11.25
114,Provost,CA,2021-11-25 15:40:30,52.3501,-110.2683,24.22,89,100,6.24
115,Geraldton,AU,2021-11-25 15:40:30,-28.7667,114.6,66.61,77,0,6.91
116,Ribeira Grande,PT,2021-11-25 15:40:31,38.5167,-28.7,66.6,63,40,26.46
117,Kavieng,PG,2021-11-25 15:40:32,-2.5744,150.7967,82.04,73,7,6.78
118,Novikovo,RU,2021-11-25 15:40:32,51.1537,37.8879,32.85,82,99,9.4
119,Baykit,RU,2021-11-25 15:40:33,61.67,96.37,0.97,100,99,1.54
120,Nazas,MX,2021-11-25 15:40:33,25.2333,-104.1333,65.64,30,47,3.06
121,Nago,JP,2021-11-25 15:40:34,26.5881,127.9761,68.16,68,100,7.16
122,Broken Hill,AU,2021-11-25 15:40:34,-31.95,141.4333,62.31,88,90,19.57
123,Nome,US,2021-11-25 15:40:34,64.5011,-165.4064,-11.13,70,1,5.75
124,Kapaa,US,2021-11-25 15:40:35,22.0752,-159.319,75.52,74,20,11.5
125,Moses Lake,US,2021-11-25 15:40:35,47.1301,-119.2781,38.28,93,75,5.75
126,Cape Girardeau,US,2021-11-25 15:40:36,37.3834,-89.7168,53.08,94,100,8.99
127,Lisakovsk,KZ,2021-11-25 15:40:36,52.5369,62.4936,14.47,80,100,14.92
128,Takoradi,GH,2021-11-25 15:40:37,4.8845,-1.7554,84.88,66,31,9.89
129,Dikson,RU,2021-11-25 15:40:37,73.5069,80.5464,0.88,92,100,5.61
130,Guangshui,CN,2021-11-25 15:40:38,31.6199,113.9978,52.65,50,0,0.31
131,Margate,GB,2021-11-25 15:40:38,51.3813,1.3862,44.89,78,24,4.0
132,Matamoros,MX,2021-11-25 15:40:38,25.5333,-103.25,68.11,28,49,4.74
133,Clyde River,CA,2021-11-25 15:40:39,70.4692,-68.5914,2.08,97,100,3.53
134,North Bend,US,2021-11-25 15:40:39,43.4065,-124.2243,40.86,93,1,8.05
135,Yellowknife,CA,2021-11-25 15:40:40,62.456,-114.3525,6.42,91,75,5.01
136,Komsomolskiy,UZ,2021-11-25 15:40:40,40.4272,71.7189,47.12,53,100,6.91
137,Carnarvon,AU,2021-11-25 15:40:40,-24.8667,113.6333,78.87,41,0,14.97
138,Petropavlovsk-Kamchatskiy,RU,2021-11-25 15:40:41,53.0452,158.6483,34.39,69,75,4.47
139,Luderitz,NA,2021-11-25 15:41:42,-26.6481,15.1594,66.15,74,55,10.89
140,Natal,BR,2021-11-25 15:37:16,-5.795,-35.2094,89.82,58,40,13.8
141,Kavaratti,IN,2021-11-25 15:41:42,10.5669,72.642,82.6,77,100,5.61
142,Kruisfontein,ZA,2021-11-25 15:41:43,-34.0033,24.7314,63.88,61,66,20.74
143,Amahai,ID,2021-11-25 15:41:43,-3.3333,128.9167,80.02,84,99,3.8
144,Henties Bay,NA,2021-11-25 15:41:44,-22.116,14.2845,63.95,78,0,8.03
145,Aliwal North,ZA,2021-11-25 15:41:44,-30.6937,26.7114,69.93,32,90,14.27
146,Pevek,RU,2021-11-25 15:41:45,69.7008,170.3133,-10.88,99,100,1.97
147,Turukhansk,RU,2021-11-25 15:41:45,65.8167,87.9833,3.54,95,100,8.81
148,Avera,US,2021-11-25 15:39:24,33.194,-82.5271,55.71,43,98,5.84
149,Mehamn,NO,2021-11-25 15:41:45,71.0357,27.8492,24.98,84,100,8.86
150,Emmett,US,2021-11-25 15:41:46,43.8735,-116.4993,33.87,78,49,8.01
151,Ahuimanu,US,2021-11-25 15:41:46,21.4447,-157.8378,74.91,82,75,9.22
152,Tubmanburg,LR,2021-11-25 15:41:47,6.8708,-10.8172,91.78,44,33,4.52
153,Tual,ID,2021-11-25 15:41:47,-5.6667,132.75,84.31,73,38,8.21
154,Hambantota,LK,2021-11-25 15:41:00,6.1241,81.1185,77.34,100,40,3.44
155,Dakar,SN,2021-11-25 15:41:24,14.6937,-17.4441,97.68,70,0,4.61
156,Goderich,CA,2021-11-25 15:41:48,43.7501,-81.7165,44.92,87,100,4.61
157,Marsh Harbour,BS,2021-11-25 15:41:48,26.5412,-77.0636,72.81,66,34,17.72
158,Deputatskiy,RU,2021-11-25 15:41:49,69.3,139.9,-25.38,86,80,1.25
159,Sitka,US,2021-11-25 15:41:49,57.0531,-135.33,46.29,87,90,9.22
160,La Rioja,ES,2021-11-25 15:37:25,42.25,-2.5,39.04,99,100,5.66
161,Saskylakh,RU,2021-11-25 15:41:50,71.9167,114.0833,-0.56,89,100,11.65
162,Vaini,TO,2021-11-25 15:41:50,-21.2,-175.2,73.56,94,75,4.61
163,Changli,CN,2021-11-25 15:41:50,39.7042,119.1506,38.1,48,0,4.54
164,Ikalamavony,MG,2021-11-25 15:41:51,-21.15,46.5833,81.9,44,88,3.42
165,Kollam,IN,2021-11-25 15:41:51,8.8833,76.6,75.07,94,100,7.09
166,Loreto,MX,2021-11-25 15:41:52,22.2667,-101.9667,61.3,30,7,4.97
167,Antalaha,MG,2021-11-25 15:41:52,-14.9003,50.2788,76.19,77,12,4.32
168,Bathsheba,BB,2021-11-25 15:41:53,13.2167,-59.5167,83.01,100,20,11.5
169,Kachiry,KZ,2021-11-25 15:41:53,53.0675,76.1036,2.75,96,52,9.42
170,Saint George,US,2021-11-25 15:38:34,37.1041,-113.5841,40.35,45,1,1.99
171,Saint-Georges,GD,2021-11-25 15:41:54,12.0564,-61.7485,85.68,74,75,2.3
172,Naze,JP,2021-11-25 15:41:54,28.3667,129.4833,60.15,63,100,5.95
173,Oxelosund,SE,2021-11-25 15:41:55,58.6706,17.1015,38.52,91,75,5.75
174,Gorban,RO,2021-11-25 15:41:55,46.8761,28.0789,43.99,66,1,15.7
175,Luwuk,ID,2021-11-25 15:41:56,-0.9516,122.7875,78.44,86,100,2.15
176,Cherskiy,RU,2021-11-25 15:41:56,68.75,161.3,-21.26,100,100,2.71
177,Rapid Valley,US,2021-11-25 15:41:56,44.0625,-103.1463,40.96,76,1,5.75
178,Pombas,CV,2021-11-25 15:41:57,17.1503,-25.0201,80.38,79,65,12.35
179,Samarai,PG,2021-11-25 15:41:57,-10.6167,150.6667,82.71,79,79,11.72
180,Barrow,US,2021-11-25 15:41:58,71.2906,-156.7887,-9.38,77,1,17.27
181,Biltine,TD,2021-11-25 15:41:58,14.5333,20.9167,85.82,10,5,9.46
182,Kyshtovka,RU,2021-11-25 15:41:58,56.555,76.6271,-2.94,99,73,6.22
183,Dreux,FR,2021-11-25 15:41:59,48.6667,1.25,42.87,93,74,10.67
184,Mount Gambier,AU,2021-11-25 15:41:59,-37.8333,140.7667,53.51,76,90,18.41
185,Hobyo,SO,2021-11-25 15:43:00,5.3505,48.5268,82.24,78,21,14.5
186,Qaanaaq,GL,2021-11-25 15:43:00,77.484,-69.3632,-4.5,58,13,5.7
187,Wanaka,NZ,2021-11-25 15:43:01,-44.7,169.15,51.57,78,100,8.12
188,Tasiilaq,GL,2021-11-25 15:43:01,65.6145,-37.6368,32.16,55,3,14.34
189,Broome,US,2021-11-25 15:43:02,42.2506,-75.833,42.53,69,90,1.01
190,Flinders,AU,2021-11-25 15:43:02,-34.5833,150.8552,66.18,87,100,7.0
191,Dobarlau,RO,2021-11-25 15:43:03,45.7333,25.8833,33.46,85,1,6.13
192,Pangai,TO,2021-11-25 15:43:03,-19.8,-174.35,80.8,69,92,6.82
193,Homer,US,2021-11-25 15:43:03,59.6425,-151.5483,19.29,88,90,18.41
194,San Juan De Los Lagos,MX,2021-11-25 15:43:04,21.25,-102.3,63.12,32,6,0.36
195,Mitsamiouli,KM,2021-11-25 15:43:04,-11.3847,43.2844,86.29,58,20,11.5
196,San Pedro De Macoris,DO,2021-11-25 15:43:05,18.4616,-69.2972,84.81,64,11,13.78
197,Nurota,UZ,2021-11-25 15:43:05,40.5614,65.6886,44.69,71,98,10.18
198,Sao Filipe,CV,2021-11-25 15:43:06,14.8961,-24.4956,78.57,73,100,8.21
199,Panuco,MX,2021-11-25 15:43:06,22.05,-98.1667,79.03,73,50,6.6
200,Castro,BR,2021-11-25 15:43:07,-24.7911,-50.0119,80.15,47,77,8.46
201,Cabo San Lucas,MX,2021-11-25 15:42:11,22.8909,-109.9124,75.51,73,75,8.05
202,Gat,IL,2021-11-25 15:43:07,31.61,34.7642,68.68,100,2,5.57
203,Sinnamary,GF,2021-11-25 15:43:08,5.3833,-52.95,82.92,73,87,4.81
204,Along,IN,2021-11-25 15:43:08,28.1667,94.7667,56.46,74,54,2.24
205,Port Augusta,AU,2021-11-25 15:43:08,-32.5,137.7667,60.94,72,0,22.39
206,Vuktyl,RU,2021-11-25 15:43:09,63.8567,57.3094,9.99,94,100,8.81
207,Batemans Bay,AU,2021-11-25 15:43:09,-35.7167,150.1833,66.2,95,100,7.61
208,Salalah,OM,2021-11-25 15:43:10,17.0151,54.0924,84.29,45,0,1.14
209,El Carmen,CO,2021-11-25 15:43:10,8.5106,-73.4478,77.32,74,70,1.92
210,Rawson,AR,2021-11-25 15:43:11,-43.3002,-65.1023,76.01,22,15,22.73
211,Yazman,PK,2021-11-25 15:43:11,29.1212,71.7446,72.05,17,0,7.11
212,Ponta Do Sol,PT,2021-11-25 15:43:12,32.6667,-17.1,68.72,61,89,3.67
213,San Patricio,US,2021-11-25 15:43:12,28.017,-97.5169,76.89,69,90,8.05
214,Porto Torres,IT,2021-11-25 15:43:13,40.835,8.3972,53.78,84,62,11.97
215,San Jose,US,2021-11-25 15:43:13,37.3394,-121.895,57.58,54,75,3.44
216,Kirakira,SB,2021-11-25 15:43:13,-10.4544,161.9205,79.43,81,98,6.98
217,Taveta,KE,2021-11-25 15:43:14,-3.3963,37.6736,92.79,76,91,9.48
218,Qasigiannguit,GL,2021-11-25 15:43:14,68.8193,-51.1922,26.85,83,100,7.45
219,Moree,AU,2021-11-25 15:43:15,-29.4667,149.85,69.82,94,90,9.22
220,Bethel,US,2021-11-25 15:43:15,41.3712,-73.414,50.49,55,90,6.91
221,Yazykovo,RU,2021-11-25 15:43:16,55.2199,56.1353,20.62,96,100,11.18
222,Berea,US,2021-11-25 15:43:16,41.3662,-81.8543,47.17,86,90,3.0
223,Bilma,NE,2021-11-25 15:43:17,18.6853,12.9164,86.97,13,0,6.62
224,Barra Patuca,HN,2021-11-25 15:43:17,15.8,-84.2833,79.7,78,80,9.62
225,Leningradskiy,RU,2021-11-25 15:43:18,69.3833,178.4167,-20.31,97,100,6.13
226,Suntar,RU,2021-11-25 15:43:18,62.1444,117.6319,0.52,99,95,3.8
227,Terrace,CA,2021-11-25 15:43:19,54.5163,-128.6035,37.31,100,90,8.05
228,Cayenne,GF,2021-11-25 15:43:19,4.9333,-52.3333,86.04,82,75,1.01
229,Grand-Santi,GF,2021-11-25 15:43:19,4.25,-54.3833,92.73,45,79,1.97
230,Ust-Tsilma,RU,2021-11-25 15:43:20,65.441,52.1498,5.86,99,92,3.71
